year,maker,vehicle_category,total
2024,A-1 SUREJA INDUSTRIES,TWO WHEELER,8
2024,ABZO MOTORS PVT LTD,TWO WHEELER,68
2024,ADISHWAR AUTO RIDE INDIA PVT LTD,TWO WHEELER,246
2024,ADRIS ELECTRIC PVT LTD,TWO WHEELER,8
2024,AFTEK MOTORS INDIA PVT LTD,TWO WHEELER,39
2024,ALTIUS EV TECH PVT LTD,TWO WHEELER,19
2024,AMO MOBILITY SOLUTIONS PVT LTD,TWO WHEELER,122
2024,AMPERE VEHICLES PRIVATE LIMITED,TWO WHEELER,1089
2024,ANCHI MOTORCYCLE (IMPORTER: ECOTRINITY AUTOMOBILE,TWO WHEELER,34
2024,ANCHI MOTORCYCLE (IMPORTER: EVNEXUS PVT. LTD.),TWO WHEELER,4
2024,ANCHI MOTORCYCLE(IMPORTER:GREEN FUEL ALTERNATIVES),TWO WHEELER,8
2024,ANCHI MOTORCYCLE (IMPORTER: YED ELECTRIC),TWO WHEELER,42
2024,ANVITA AUTO TECH WORKS PVT LTD,TWO WHEELER,5
2024,ASHNNI MOTORS PVT LTD,TWO WHEELER,5
2024,ATHER ENERGY LTD,TWO WHEELER,126359
2024,ATUMOBILE PVT LTD,TWO WHEELER,34
2024,AYAAN ELECTRONIC PVT LTD,TWO WHEELER,30
2024,BAILI MOTOR (IMPORTER:A B MOTOSS EV PVT LTD),TWO WHEELER,6
2024,BAJAJ AUTO LTD,TWO WHEELER,2185518
2024,BATTRE ELECTRIC MOBLITY PVT LTD,TWO WHEELER,3102
2024,BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD,TWO WHEELER,525
2024,BGAUSS AUTO PRIVATE LIMITED,TWO WHEELER,18033
2024,BLIX CYCLES AND E-VEHICLES PVT LTD,TWO WHEELER,6
2024,BMW INDIA PVT LTD,TWO WHEELER,6911
2024,BOOMA INNOVATIVE TRANSPORT SULUTIONS PVT LTD,TWO WHEELER,851
2024,BOUNCE ELECTRIC 1 PVT LTD,TWO WHEELER,6972
2024,BRB MEXICO S.A DE C.V,TWO WHEELER,1
2024,BSA MOTORS,TWO WHEELER,1
2024,BU4 AUTO PVT LTD,TWO WHEELER,1
2024,CHANDANA CORPORATION,TWO WHEELER,164
2024,CHETAK TECHNOLOGY LIMITED,TWO WHEELER,4
2024,CHINA HAOCHEN (IMPORTER: ADMS MARKETING),TWO WHEELER,336
2024,CHINA HAOCHEN (IMPORTER:SLSR ELECTRO),TWO WHEELER,23
2024,CHONGQING CHARMING (IMPORTER: AYAAN ELECTRONICS).,TWO WHEELER,1
2024,CLASSIC (INDIA) MOTORS,TWO WHEELER,1
2024,CLASSIC LEGENDS PVT LTD,TWO WHEELER,33006
2024,DAO EVTECH PRIVATE LIMITED,TWO WHEELER,80
2024,DONGMA VEHICLE (IMPORTER: MERCURY METALS),TWO WHEELER,8
2024,DUCATI INDIA PVT LTD,TWO WHEELER,368
2024,DUCATI MOTOR HOLDING S.P.A,TWO WHEELER,1
2024,DURGA FILTERS PVT LTD,TWO WHEELER,5
2024,E-ASHWA AUTOMOTIVE (HS 2W) PVT LTD,TWO WHEELER,1
2024,ECOBIT INTERNATIONAL(IMPORTER: JHEV MOTORS),TWO WHEELER,59
2024,ECO FUEL SYSTEMS (I) PVT LTD,TWO WHEELER,192
2024,EICHER MOTORS LTD,TWO WHEELER,1
2024,ELECTRECA VEHICLES,TWO WHEELER,40
2024,ELECTRIC ALLIANCE(IMPORTER: ELLYSIUM AUTOMOTIVES),TWO WHEELER,5
2024,ELEGO MOTORS PVT LTD,TWO WHEELER,29
2024,ELTHOR ENERGY PRIVATE LIMITED,TWO WHEELER,203
2024,ENGTIAN ELECTRIC BIKE PVT LTD,TWO WHEELER,458
2024,ENIGMA AUTOMOBILES PVT LTD,TWO WHEELER,16
2024,E ROYCE MOTORS INDIA PVT LTD,TWO WHEELER,1
2024,ESCORTS CONSTRUCTION EQUIPMENT LTD,TWO WHEELER,3
2024,ESCORTS R&D CENTRE,TWO WHEELER,3
2024,E-SPRINTO GREEN ENERGY PVT LTD,TWO WHEELER,882
2024,ESSEL ENERGY INFRA PVT LTD,TWO WHEELER,3
2024,EVTRIC MOTORS PVT LTD,TWO WHEELER,135
2024,EXERVAL PVT LTD,TWO WHEELER,14
2024,FIADO INDUSTRIES PVT LTD,TWO WHEELER,60
2024,FSTMOTO (IMPORTER: AUTOICARE INNOVATION),TWO WHEELER,22
2024,FSTMOTO INTERNATIONAL (IMPORTER: TEDI (INDIA)),TWO WHEELER,2
2024,FUJIYAMA POWER INFRA PVT. LTD.,TWO WHEELER,101
2024,GAURA ELECTRIC VEHICLES PVT LTD,TWO WHEELER,437
2024,GODAWARI ELECTRIC MOTORS PVT LTD,TWO WHEELER,750
2024,GOGORO INDIA PVT LTD,TWO WHEELER,115
2024,GOLDENLION (IMPORTER:ELLYSIUM AUTOMOTIVES PVT LTD),TWO WHEELER,1
2024,GOREEN E-MOBILITY PVT LTD,TWO WHEELER,1372
