year,maker,vehicle_category,total,,
2023,IVOOMI INNOVATION PVT LTD,TWO WHEELER,2,153,
2023,IZANAU ELECTRIC LLP,TWO WHEELER,51,,
2023,JIANGSU AIMA (IMPORTER: FUTURE EV),TWO WHEELER,8,,
2023,JIANGSU AIMA (IMPORTER: QUANTUM ENERGY),TWO WHEELER,454,,
2023,JIANGSU DALONG (IMPORTER: ENGTIAN ELECTRIC),TWO WHEELER,11,,
2023,JIANGSU DALONG (IMPORTER: KINGCHE MOBILITY),TWO WHEELER,20,,
2023,JIANGSU DALONG (IMPORTER: RILOX EV PVT LTD),TWO WHEELER,2,,
2023,JIANGSU DALONG (IMPORTER: SABOO TOR),TWO WHEELER,22,,
2023,JIANGSU DALONG (IMPORTER:TYLOS ELECTRIC VEHICLES),TWO WHEELER,50,,
2023,JIANGSU DALONG JIANHAO (IMPORTER: GREEN INDIA),TWO WHEELER,1,,
2023,JIANGSU GUOWEI (IMPORTER: REVEAL ELECTRIC),TWO WHEELER,31,,
2023,JIANGSU SUNHOU (IMPORTER: SABOO TOR),TWO WHEELER,10,,
2023,JIANGSU XINRI E-VEHICLE(IMPORTER SWIFT CUR.TECH.),TWO WHEELER,85,,
2023,JIANGSU XINRI (IMPORTER: NISIKI TECHNOLOGIES),TWO WHEELER,3,,
2023,JIANGSU ZHEENAIDA (IMPORTER: KLB GLOBAL),TWO WHEELER,799,,
2023,JITENDRA NEW EV-TECH PVT. LTD,TWO WHEELER,2,617,
2023,JUNENG MOTORCYCLE (IMPORTER: ADMS MARKETING),TWO WHEELER,52,,
2023,JUNENG MOTORCYCLE (IMPORTER: ISCOOT MOTERS),TWO WHEELER,212,,
2023,JUNENG MOTORCYCLE TECH. (IMPORTER: DELTA AUTOCORP),TWO WHEELER,22,,
2023,KABIRA MOBILITY LLP,TWO WHEELER,165,,
2023,KAINING (HONGKONG) (IMPORTER: ENERGY AUTOMOBILE),TWO WHEELER,7,,
2023,KAINING (HONGKONG) (IMPORTER: ENIGMA AUTOMOBILES),TWO WHEELER,51,,
2023,KAINING (HONGKONG) (IMPORTER:M/S IZANAU ELECTRIC),TWO WHEELER,11,,
2023,KAINING (HONGKONG) (IMPORTER: TOXMO ELECTRIC),TWO WHEELER,5,,
2023,KAWASAKI HEAVY INDUSTRIES LTD,TWO WHEELER,1,,
2023,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,TWO WHEELER,7,781,
2023,KINETIC MOTOR COMPANY LIMITED,TWO WHEELER,1,,
2023,KLB KOMAKI PVT LTD,TWO WHEELER,4,173,
2023,KTM MOTORRAD AG,TWO WHEELER,2,,
2023,KYTE ENERGY PVT. LTD.,TWO WHEELER,540,,
2023,LECTRIX E VEHICLES PVT LTD,TWO WHEELER,6,203,
2023,LI-IONS ELEKTRIK SOLUTIONS PVT LTD,TWO WHEELER,5,,
2023,LML LIMITED,TWO WHEELER,2,,
2023,LOCAL TRAILER MANUFACTURER,TWO WHEELER,1,,
2023,M2GO ELECTRIC VEHICLE PVT LTD,TWO WHEELER,2,,
2023,MAA LUXMI E-VEHICLES PVT. LTD.,TWO WHEELER,4,,
2023,MAC INTERNATIONAL (IMPORTER:HONESTY),TWO WHEELER,1,,
2023,MAC INTERNATIONAL (IMPORTER: JHEV MOTORS PVT LTD),TWO WHEELER,1,,
2023,MAHINDRA & MAHINDRA LIMITED,TWO WHEELER,62,,
2023,MAHINDRA TWO WHEELERS LTD,TWO WHEELER,4,,
2023,MARUTHISAN PVT LTD,TWO WHEELER,147,,
2023,MARUTI SUZUKI INDIA LTD,TWO WHEELER,19,,
2023,MAULIRAJ INDUSTRIES LLP,TWO WHEELER,1,,
2023,MECPOWER MOBILITY PVT. LTD.,TWO WHEELER,128,,
2023,MEW ELECTRICALS LIMITED,TWO WHEELER,196,,
2023,MICROAUTOTECH PVT. LTD.,TWO WHEELER,2,,
2023,MIRAKLE 5 AUTOMOBILES PVT LTD,TWO WHEELER,102,,
2023,MODIKA INTERNATIONAL (IMPORTER: FRANKLIN EV),TWO WHEELER,19,,
2023,MOTOROYALE KINETIC PRIVATE LIMITED,TWO WHEELER,1,,
2023,NDS ECO MOTORS PVT LTD,TWO WHEELER,7,,
2023,NINGBO LONGJIA (IMPORTER: ADISHWAR AUTO),TWO WHEELER,191,,
2023,NISIKI TECHNOLOGIES PVT LTD,TWO WHEELER,164,,
2023,NUMEROS MOTORS PVT LTD,TWO WHEELER,473,,
2023,OBEN ELECTRIC VEHICLES PVT LTD,TWO WHEELER,50,,
2023,ODYSSE ELECTRIC VEHICLES PVT LTD,TWO WHEELER,210,,
2023,OKAYA EV PVT LTD,TWO WHEELER,15,827,
2023,OKINAWA AUTOTECH PVT LTD,TWO WHEELER,31,617,
2023,OLA ELECTRIC TECHNOLOGIES PVT LTD,TWO WHEELER,2,67,387
2023,OMJAY EV LIMITED,TWO WHEELER,67,,
2023,OTHERS,TWO WHEELER,1,128,
2023,OZOTEC AUTOMOBILE PRIVATE LIMITED,TWO WHEELER,351,,
2023,PIAGGIO VEHICLES PVT LTD,TWO WHEELER,36,89,
2023,POLARIS INDIA PVT LTD,TWO WHEELER,12,,
2023,PORFITEL TECHNOLOGY (IMPORTER: AERORIDE),TWO WHEELER,214,,
2023,PUR ENERGY PVT LTD,TWO WHEELER,7,191,
2023,QIANJIANG-KEEWAY (IMPORTER: ADISHWAR AUTO),TWO WHEELER,878,,
2023,QICHENG VEHICLE (IMPORTER: AUTOICARE INNOVATION),TWO WHEELER,81,,
2023,QOOKEE TECHNOLOGIES (IMPORTER:VIKEBIKE INDIA),TWO WHEELER,10,,
2023,QUANTUM ENERGY LTD.,TWO WHEELER,2,371,
2023,REVOLT INTELLICORP PVT LTD,TWO WHEELER,6,977,
2023,RGM BUSINESS PLUS PVT LTD,TWO WHEELER,822,,
2023,RIVER MOBILITY PVT LTD,TWO WHEELER,92,,
2023,ROWWET MOBILITY PVT LTD,TWO WHEELER,68,,
2023,ROYAL AUTOMOBILES,TWO WHEELER,1,,
2023,ROYAL-ENFIELD (UNIT OF EICHER LTD),TWO WHEELER,7,85,273
2023,ROYAL TRACTOR PVT LTD,TWO WHEELER,2,,
2023,SAI SAMEER POWER ELECTRIC VEHICLES PVT LTD,TWO WHEELER,22,,
2023,SBTEK E MOTO PVT LTD,TWO WHEELER,22,,
2023,SEEKA E MOTORS PVT LTD,TWO WHEELER,3,,
2023,SIMPLEENERGY PVT LTD,TWO WHEELER,66,,
2023,SMAP VEHICLES (IMPORTER: ELEGO MOTORS),TWO WHEELER,15,,
2023,SOKUDO ELECTRIC INDIA PVT LTD,TWO WHEELER,132,,
2023,SRIVARU MOTORS PVT LTD,TWO WHEELER,24,,
2023,SUPERECO AUTOMOTIVE CO,TWO WHEELER,128,,
2023,SUZUKI JAPAN,TWO WHEELER,2,,
2023,SUZUKI MOTORCYCLE INDIA PVT LTD,TWO WHEELER,8,6,158
2023,TATA MOTORS PASSENGER VEHICLES LTD,TWO WHEELER,2,,
2023,TBL ENTERPRISE,TWO WHEELER,1,,
2023,THUKRAL ELECTRIC BIKES PVT LTD,TWO WHEELER,48,,
2023,TORK MOTORS PVT LTD,TWO WHEELER,1,589,
2023,TRIUMPH MOTORCYCLES (INDIA) PVT LTD,TWO WHEELER,775,,
2023,TUNWAL E MOTORS PVT LTD,TWO WHEELER,44,,
2023,TVS MOTOR COMPANY LTD,TWO WHEELER,28,76,891
2023,TYST DRIVE INDIA PVT LTD,TWO WHEELER,31,,
