year,maker,vehicle_category,total
2022,ADISHWAR AUTO RIDE INDIA PVT LTD,TWO WHEELER,1350
2022,ADRIS ELECTRIC PVT LTD,TWO WHEELER,226
2022,AFTEK MOTORS INDIA PVT LTD,TWO WHEELER,186
2022,AHMED MOTORS,TWO WHEELER,18
2022,AJS MOTORCYCLES LTD,TWO WHEELER,1
2022,ALTIUS EV TECH PVT LTD,TWO WHEELER,67
2022,AMO MOBILITY SOLUTIONS PVT LTD,TWO WHEELER,1496
2022,AMPERE VEHICLES PRIVATE LIMITED,TWO WHEELER,79859
2022,AMPERE VEHICLES PVT LTD,TWO WHEELER,2391
2022,ANCHI MOTORCYCLE (IMPORTER: ECOTRINITY AUTOMOBILE,TWO WHEELER,6
2022,ANCHI MOTORCYCLE (IMPORTER: EVNEXUS PVT. LTD.),TWO WHEELER,1
2022,ANVITA AUTO TECH WORKS PVT LTD,TWO WHEELER,30
2022,ATHER ENERGY LTD,TWO WHEELER,51813
2022,ATOMEX E-MOTORS INDIA PVT LTD,TWO WHEELER,3
2022,AUTOROLA INDIA TO,TWO WHEELER,1
2022,AYAAN ELECTRONIC PVT LTD,TWO WHEELER,132
2022,BAJAJ AUTO LTD,TWO WHEELER,1673679
2022,BATTRE ELECTRIC MOBLITY PVT LTD,TWO WHEELER,516
2022,BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD,TWO WHEELER,13130
2022,BGAUSS AUTO PRIVATE LIMITED,TWO WHEELER,1983
2022,BLIX CYCLES AND E-VEHICLES PVT LTD,TWO WHEELER,45
2022,BMW INDIA PVT LTD,TWO WHEELER,6697
2022,BOOMA INNOVATIVE TRANSPORT SULUTIONS PVT LTD,TWO WHEELER,484
2022,BOUNCE ELECTRIC PVT LTD,TWO WHEELER,4515
2022,BSA MOTORS,TWO WHEELER,2
2022,CHANDANA CORPORATION,TWO WHEELER,426
2022,CLASSIC LEGENDS PVT LTD,TWO WHEELER,40968
2022,DAO EVTECH PRIVATE LIMITED,TWO WHEELER,102
2022,DILLI ELECTRIC AUTO PVT LTD,TWO WHEELER,2
2022,DSK MOTOWHEELS PVT LTD.,TWO WHEELER,1
2022,DUCATI INDIA PVT LTD,TWO WHEELER,374
2022,DUCATI MOTOR HOLDING S.P.A,TWO WHEELER,2
2022,ECO FUEL SYSTEMS (I) PVT LTD,TWO WHEELER,728
2022,EICHER MOTORS LTD,TWO WHEELER,2
2022,ELECTRECA VEHICLES,TWO WHEELER,93
2022,ELTHOR ENERGY PRIVATE LIMITED,TWO WHEELER,735
2022,ENGTIAN ELECTRIC BIKE PVT LTD,TWO WHEELER,141
2022,ESCORTS CONSTRUCTION EQUIPMENT LTD,TWO WHEELER,24
2022,ESCORTS R&D CENTRE,TWO WHEELER,1
2022,EVTRIC MOTORS PVT LTD,TWO WHEELER,162
2022,EXERVAL PVT LTD,TWO WHEELER,127
2022,FIADO INDUSTRIES PVT LTD,TWO WHEELER,5
2022,GODREJ AND BOYCE MFG CO LTD,TWO WHEELER,1
2022,GO GREEN EOT (ENERGY OF THINGS) PVT LTD,TWO WHEELER,7
2022,GOREEN E-MOBILITY PVT LTD,TWO WHEELER,5345
2022,GREAVES ELECTRIC MOBILITY PVT LTD,TWO WHEELER,410
2022,GUANGDONG TAYO (IMPORTER: ADISHWAR AUTO),TWO WHEELER,8
2022,HARLEY DAVIDSON (IMPORTER: HERO MOTOCORP),TWO WHEELER,359
2022,H-D MOTOR COMPANY INDIA PVT LTD,TWO WHEELER,61
2022,HERO ELECTRIC VEHICLE PVT LTD,TWO WHEELER,2538
2022,HERO ELECTRIC VEHICLES PVT. LTD,TWO WHEELER,97828
2022,HERO HONDA MOTORS LTD,TWO WHEELER,79
2022,HERO MOTOCORP LTD,TWO WHEELER,5031596
2022,HILLMAN MOTORS LTD,TWO WHEELER,1
2022,HONDA CARS INDIA LTD,TWO WHEELER,1027
2022,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,TWO WHEELER,3862942
2022,HONGHUA INTER CO LTD,TWO WHEELER,1
2022,HONGKONG YIXING (IMPORTER: ADMS MARKETING),TWO WHEELER,14
2022,HOP ELECTRIC MOBILITY PVT LTD,TWO WHEELER,2
2022,HOUSTAN INNOVATION LLP,TWO WHEELER,33
2022,HYUNDAI MOTOR INDIA LTD,TWO WHEELER,3
2022,INDIA KAWASAKI MOTORS PVT LTD,TWO WHEELER,3257
2022,INDIA YAMAHA MOTOR PVT LTD,TWO WHEELER,544760
2022,IRA EDUTECH PVT LTD,TWO WHEELER,98
2022,IVOOMI INNOVATION PVT LTD,TWO WHEELER,627
2022,IZANAU ELECTRIC LLP,TWO WHEELER,32
2022,JIANGSU AIMA (IMPORTER: QUANTUM ENERGY),TWO WHEELER,31
2022,JIANGSU SUNHOU (IMPORTER: SABOO TOR),TWO WHEELER,1
2022,JIANGSU XINRI E-VEHICLE(IMPORTER SWIFT CUR.TECH.),TWO WHEELER,41
2022,JIANGSU XINRI (IMPORTER: NISIKI TECHNOLOGIES),TWO WHEELER,12
2022,JIANGSU ZHEENAIDA (IMPORTER: KLB GLOBAL),TWO WHEELER,496
2022,JITENDRA NEW EV-TECH PVT. LTD,TWO WHEELER,9553
2022,JUNENG MOTORCYCLE (IMPORTER: ADMS MARKETING),TWO WHEELER,9
2022,JUNENG MOTORCYCLE (IMPORTER: ISCOOT MOTERS),TWO WHEELER,37
2022,KABIRA MOBILITY LLP,TWO WHEELER,107
2022,KAWASAKI HEAVY INDUSTRIES LTD,TWO WHEELER,5
2022,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,TWO WHEELER,2085
2022,KINETIC MOTOR COMPANY LIMITED,TWO WHEELER,9
2022,KLB KOMAKI PVT LTD,TWO WHEELER,3487
2022,KYTE ENERGY PVT. LTD.,TWO WHEELER,18
2022,LECTRIX E VEHICLES PVT LTD,TWO WHEELER,2350
2022,LML LIMITED,TWO WHEELER,6
2022,LOCAL TRAILER MANUFACTURER,TWO WHEELER,1
2022,LOHIA AUTO INDUSTRIES LTD.,TWO WHEELER,1
2022,M2GO ELECTRIC VEHICLE PVT LTD,TWO WHEELER,4
2022,MAA LUXMI E-VEHICLES PVT. LTD.,TWO WHEELER,18
2022,MAHINDRA & MAHINDRA LIMITED,TWO WHEELER,117
2022,MAHINDRA TWO WHEELERS LTD,TWO WHEELER,5
2022,MAJESTIC AUTO LTD,TWO WHEELER,2
2022,MARUTHISAN PVT LTD,TWO WHEELER,84
2022,MARUTI SUZUKI INDIA LTD,TWO WHEELER,37
2022,MEW ELECTRICALS LIMITED,TWO WHEELER,3215
2022,MINI METRO EV L.L.P,TWO WHEELER,1
2022,MIRAKLE 5 AUTOMOBILES PVT LTD,TWO WHEELER,18
2022,MOTOROYALE KINETIC PRIVATE LIMITED,TWO WHEELER,2
2022,M/S VISHNU CLEAN ENERGY VEHICLES LLP,TWO WHEELER,3
2022,MV AGUSTA INDIA PVT LTD,TWO WHEELER,1
2022,NDS ECO MOTORS PVT LTD,TWO WHEELER,28
2022,NINGBO LONGJIA (IMPORTER: ADISHWAR AUTO),TWO WHEELER,208
2022,NISIKI TECHNOLOGIES PVT LTD,TWO WHEELER,167
2022,NUMEROS MOTORS PVT LTD,TWO WHEELER,335
2022,ODYSSE ELECTRIC VEHICLES PVT LTD,TWO WHEELER,313
2022,OKAYA EV PVT LTD,TWO WHEELER,8914
2022,OKINAWA AUTOTECH PVT LTD,TWO WHEELER,103621
2022,OLA ELECTRIC TECHNOLOGIES PVT LTD,TWO WHEELER,109403
2022,OMJAY EV LIMITED,TWO WHEELER,172
2022,OTHERS,TWO WHEELER,160257
2022,OZOTEC AUTOMOBILE PRIVATE LIMITED,TWO WHEELER,93
2022,PIAGGIO VEHICLES PVT LTD,TWO WHEELER,47388
2022,POLARIS INDIA PVT LTD,TWO WHEELER,14
2022,PORFITEL TECHNOLOGY (IMPORTER: AERORIDE),TWO WHEELER,23
2022,PUR ENERGY PVT LTD,TWO WHEELER,14953
2022,QIANJIANG-KEEWAY (IMPORTER: ADISHWAR AUTO),TWO WHEELER,98
2022,QUANTUM ENERGY LTD.,TWO WHEELER,25
2022,REVOLT INTELLICORP PVT LTD,TWO WHEELER,14912
2022,RGM BUSINESS PLUS PVT LTD,TWO WHEELER,1565
2022,ROWWET MOBILITY PVT LTD,TWO WHEELER,143
2022,ROYAL-ENFIELD (UNIT OF EICHER LTD),TWO WHEELER,644454
